attribute,information_level,type,missing_or_unknown
AGER_TYP,person,categorical,"[-1,0]"
ALTERSKATEGORIE_GROB,person,ordinal,"[-1,0,9]"
ANREDE_KZ,person,categorical,"[-1,0]"
CJT_GESAMTTYP,person,categorical,[0]
FINANZ_MINIMALIST,person,ordinal,[-1]
FINANZ_SPARER,person,ordinal,[-1]
FINANZ_VORSORGER,person,ordinal,[-1]
FINANZ_ANLEGER,person,ordinal,[-1]
FINANZ_UNAUFFAELLIGER,person,ordinal,[-1]
FINANZ_HAUSBAUER,person,ordinal,[-1]
FINANZTYP,person,categorical,[-1]
GEBURTSJAHR,person,numeric,[0]
GFK_URLAUBERTYP,person,categorical,[]
GREEN_AVANTGARDE,person,categorical,[]
HEALTH_TYP,person,ordinal,"[-1,0]"
LP_LEBENSPHASE_FEIN,person,mixed,[0]
LP_LEBENSPHASE_GROB,person,mixed,[0]
LP_FAMILIE_FEIN,person,categorical,[0]
LP_FAMILIE_GROB,person,categorical,[0]
LP_STATUS_FEIN,person,categorical,[0]
LP_STATUS_GROB,person,categorical,[0]
NATIONALITAET_KZ,person,categorical,"[-1,0]"
PRAEGENDE_JUGENDJAHRE,person,mixed,"[-1,0]"
RETOURTYP_BK_S,person,ordinal,[0]
SEMIO_SOZ,person,ordinal,"[-1,9]"
SEMIO_FAM,person,ordinal,"[-1,9]"
SEMIO_REL,person,ordinal,"[-1,9]"
SEMIO_MAT,person,ordinal,"[-1,9]"
SEMIO_VERT,person,ordinal,"[-1,9]"
SEMIO_LUST,person,ordinal,"[-1,9]"
SEMIO_ERL,person,ordinal,"[-1,9]"
SEMIO_KULT,person,ordinal,"[-1,9]"
SEMIO_RAT,person,ordinal,"[-1,9]"
SEMIO_KRIT,person,ordinal,"[-1,9]"
SEMIO_DOM,person,ordinal,"[-1,9]"
SEMIO_KAEM,person,ordinal,"[-1,9]"
SEMIO_PFLICHT,person,ordinal,"[-1,9]"
SEMIO_TRADV,person,ordinal,"[-1,9]"
SHOPPER_TYP,person,categorical,[-1]
SOHO_KZ,person,categorical,[-1]
TITEL_KZ,person,categorical,"[-1,0]"
VERS_TYP,person,categorical,[-1]
ZABEOTYP,person,categorical,"[-1,9]"
ALTER_HH,household,interval,[0]
ANZ_PERSONEN,household,numeric,[]
ANZ_TITEL,household,numeric,[]
HAUSHALTSSTRUKTUR,household,ordinal,"[-1,0]"
HH_EINKOMMEN_SCORE,household,ordinal,"[-1,0]"
KK_KUNDENTYP,household,categorical,[-1]
D19_KONSUMTYP,household,categorical,[]
D19_GESAMT_ANZ_12,household,categorical,[]
D19_GESAMT_ANZ_24,household,categorical,[]
D19_BANKEN_ANZ_12,household,categorical,[]
D19_BANKEN_ANZ_24,household,categorical,[]
D19_TELKO_ ANZ_12,household,categorical,[]
D19_TELKO_ ANZ_24,household,categorical,[]
D19_VERSI_ ANZ_12 ,household,categorical,[]
D19_VERSI_ ANZ_24,household,categorical,[]
D19_VERSAND_ ANZ_12 ,household,categorical,[]
D19_VERSAND_ ANZ_24,household,categorical,[]
D19_GESAMT_OFFLINE_DATUM,household,categorical,[]
D19_GESAMT_ONLINE_DATUM,household,categorical,[]
D19_GESAMT_DATUM,household,categorical,[]
D19_BANKEN_OFFLINE_DATUM,household,categorical,[]
D19_BANKEN_ONLINE_DATUM,household,categorical,[]
D19_BANKEN_DATUM,household,categorical,[]
D19_TELKO_OFFLINE_DATUM,household,categorical,[]
D19_TELKO_ONLINE_DATUM,household,categorical,[]
D19_TELKO_DATUM,household,categorical,[]
D19_VERSAND_OFFLINE_DATUM,household,categorical,[]
D19_VERSAND_ONLINE_DATUM,household,categorical,[]
D19_VERSAND_DATUM,household,categorical,[]
D19_VERSI_OFFLINE_DATUM,household,categorical,[]
D19_VERSI_ONLINE_DATUM,household,categorical,[]
D19_VERSI_DATUM,household,categorical,[]
D19_GESAMT_ONLINE_QUOTE_12,household,categorical,[]
D19_BANKEN_ONLINE_QUOTE_12,household,categorical,[]
D19_VERSAND_ONLINE_QUOTE_12,household,categorical,[]
W_KEIT_KIND_HH,household,ordinal,"[-1,0]"
WOHNDAUER_2008,household,ordinal,"[-1,0]"
ANZ_HAUSHALTE_AKTIV,building,numeric,[0]
ANZ_HH_TITEL,building,numeric,[]
GEBAEUDETYP,building,categorical,"[-1,0]"
GEOSCORE_KLS7,building,numeric,[]
KBA05_HERSTTEMP,building,ordinal,"[-1, 9]"
KBA05_MODTEMP,building,ordinal,"[-1, 9]"
KONSUMNAEHE,building,ordinal,[]
MIN_GEBAEUDEJAHR,building,numeric,[0]
OST_WEST_KZ,building,categorical,[-1]
WOHNLAGE,building,mixed,[-1]
CAMEO_DEUG_2015,microcell_rr4,categorical,"[-1,X]"
CAMEO_DEU_2015,microcell_rr4,categorical,[XX]
CAMEO_INTL_2015,microcell_rr4,mixed,"[-1,XX]"
KBA05_ALTER1,microcell_rr3,ordinal,"[-1, 9]"
KBA05_ALTER2,microcell_rr3,ordinal,"[-1, 9]"
KBA05_ALTER3,microcell_rr3,ordinal,"[-1, 9]"
KBA05_ALTER4,microcell_rr3,ordinal,"[-1, 9]"
KBA05_ANHANG,microcell_rr3,ordinal,"[-1, 9]"
KBA05_ANTG1,microcell_rr3,ordinal,[-1]
KBA05_ANTG2,microcell_rr3,ordinal,[-1]
KBA05_ANTG3,microcell_rr3,ordinal,[-1]
KBA05_ANTG4,microcell_rr3,ordinal,[-1]
KBA05_AUTOQUOT,microcell_rr3,ordinal,"[-1, 9]"
KBA05_BAUMAX,microcell_rr3,mixed,"[-1,0]"
KBA05_CCM1,microcell_rr3,ordinal,"[-1, 9]"
KBA05_CCM2,microcell_rr3,ordinal,"[-1, 9]"
KBA05_CCM3,microcell_rr3,ordinal,"[-1, 9]"
KBA05_CCM4,microcell_rr3,ordinal,"[-1, 9]"
KBA05_DIESEL,microcell_rr3,ordinal,"[-1, 9]"
KBA05_FRAU,microcell_rr3,ordinal,"[-1, 9]"
