clusters,score,average_distance
2,39584391.28,271.46
3,38063370.71,261.03
4,37168725.95,254.9
5,36455716.63,250.01
6,35900682.82,246.2
7,35439037.43,243.04
8,35055570.85,240.41
9,34718674.41,238.1
10,34396839.57,235.89
11,34117457.41,233.97
12,33841969.44,232.08
13,33553512.39,230.11
14,33378616.56,228.91
15,33092973.74,226.95
16,32826389.67,225.12
17,32635827.26,223.81
18,32388248.85,222.11
19,32271608.55,221.31
20,32033365.66,219.68
21,31714953.41,217.5
22,31661768.84,217.13
23,31401457.95,215.35
24,31240365.24,214.24
25,31024147.09,212.76
